session;created;modified;ended;expired;prpid;topic;plot_perceived_difficulty_1;text_perceived_difficulty_1;effect_size_1;plot_accuracy_1;text_accuracy_1;effect_size_2;plot_perceived_informativity_1;text_perceived_informativity_1;effect_size_3;plot_relevance_1;text_relevance_1;effect_size_4;effect_size_5;effect_size_6;plot_perceived_difficulty_2;text_perceived_difficulty_2;effect_size_7;plot_accuracy_2;text_accuracy_2;effect_size_8;plot_perceived_informativity_2;text_perceived_informativity_2;effect_size_9;plot_relevance_2;text_relevance_2;effect_size_10;effect_size_11;effect_size_12;plot_perceived_difficulty_3;text_perceived_difficulty_3;plot_accuracy_3;text_accuracy_3;plot_perceived_informativity_3;text_perceived_informativity_3;plot_relevance_3;text_relevance_3;informed_consent;plot_perceived_difficulty_4;text_perceived_difficulty_4;plot_accuracy_4;text_accuracy_4;plot_perceived_informativity_4;text_perceived_informativity_4;plot_relevance_4;text_relevance_4;plot_perceived_difficulty_5;text_perceived_difficulty_5;plot_accuracy_5;text_accuracy_5;plot_perceived_informativity_5;text_perceived_informativity_5;plot_relevance_5;text_relevance_5;text_perceived_difficulty_6;plot_perceived_difficulty_6;text_accuracy_6;plot_accuracy_6;text_perceived_informativity_6;plot_perceived_informativity_6;text_relevance_6;plot_relevance_6;attention_check_1b;attention_check_1a;check_graph2;check_test;check_text2;data_quality
EDxFL5HouHq7JUSCFXdZL6IgS5B3AzzrqoupabO0H9M10J4cwwzCRyhetunzkwrP;18.01.2024 14:37;18.01.2024 14:46;18.01.2024 14:46;;5855b0d59fcc070001dfe2a7;3d_video_vs_2d_video;4;7;-0.5;55;75;0.8;4;6;-0.8;250;900;0.2;0.5;-0.2;5;7;-0.8;55;58;-0.2;4;6;0.8;250;500;0.2;-0.5;0.5;5;7;51;28;4;6;150;250;1;5;5;37;20;4;3;200;100;4;5;38;27;4;4;190;200;5;4;22;47;4;4;150;350;3;1;3;50;100;1
rVtxQACjMh1sSxya8mojmyFx6SXQVfnFqPvYCAf1DydPf9ZRN9zPU0ZWFBZV_ZJD;18.01.2024 14:41;18.01.2024 14:49;18.01.2024 14:49;;58dedd9f167bc20001b4a66d;3d_video_vs_2d_video;5;7;-0.2;82;84;-0.8;6;7;0.2;0;0;-0.5;0.5;0.8;5;7;-0.2;12;86;-0.5;6;7;0.5;0;0;0.8;-0.8;0.2;5;7;84;12;6;7;0;0;1;5;7;81;6;6;7;0;0;6;7;18;95;6;7;0;0;7;5;65;17;7;6;0;0;3;1;2;0;100;1
v-ule8_tYO2ANMrC-nIMJcEDEowrDvNbYy0oMM5_piSbQAbIlImKqggWqIa_wnOz;18.01.2024 14:41;18.01.2024 14:52;18.01.2024 14:52;;5ec9c8ac6c15054fe7508271;science_kit_vs_traditional_program;6;7;0.5;19;79;0.2;5;7;-0.8;200;400;-0.5;0.8;-0.2;6;7;-0.8;43;28;0.5;5;7;0.8;250;200;0.2;-0.2;-0.5;7;7;79;22;6;7;300;175;1;6;7;72;52;6;7;300;150;6;7;22;57;6;7;200;200;7;6;69;59;7;7;300;200;3;1;3;50;100;1
J8DHuG2PvFG6of71_7J8PzbDRsxQ1nb3Mhkzfarw0c5o5o4KM4mZZaJmy8XIREB7;18.01.2024 14:41;18.01.2024 14:53;18.01.2024 14:53;;5fc953527f6167409e5654e0;ai_feedback_vs_teacher_feedback;3;3;0.8;1;80;0.5;2;2;-0.5;0;30;0.2;-0.2;-0.8;2;3;-0.8;1;58;0.2;2;2;0.8;0;30;-0.2;-0.5;0.5;2;3;100;19;2;3;30;0;1;2;3;1;54;2;2;0;30;2;3;100;75;2;2;30;30;3;2;20;100;3;2;30;60;3;1;2;0;100;1
j6GdHicxmK24_vrh9FnUWyeb64MM0IwzfCv09f_RXtG1cTO9sHHdHV5cNbRuLrtF;18.01.2024 14:41;18.01.2024 14:50;18.01.2024 14:50;;58eec4b09fbdde00011e95b0;science_kit_vs_traditional_program;4;5;0.2;48;60;0.8;4;4;-0.5;0;0;-0.8;0.5;-0.2;4;4;-0.5;41;56;0.2;4;4;-0.2;0;0;0.8;0.5;-0.8;4;5;55;55;4;4;0;0;1;4;5;60;74;4;4;0;0;4;5;53;48;4;4;0;0;5;4;69;60;4;4;0;0;3;1;3;50;100;1
FvRuRwFWwrFNMRcjpBJKE3N3Abg4gq9SYu1JFYAzGvsWN1UEy7d-f5B6JMqVPNXM;18.01.2024 14:44;18.01.2024 14:54;18.01.2024 14:54;;5ea01c7e792cdc00099748d6;ai_feedback_vs_teacher_feedback;2;7;0.8;14;15;0.2;4;7;-0.5;0;0;-0.2;-0.8;0.5;5;7;0.5;48;23;-0.2;7;7;-0.5;0;0;0.2;-0.8;0.8;5;7;58;85;7;7;0;0;1;6;7;60;20;7;7;0;0;6;7;71;86;7;7;0;0;7;6;7;41;7;7;0;0;3;1;3;50;100;1
Sc0h2YJKHodf_hIp3yrw1YuBbxEAKIqV-BSyiJDd7WNVEqtTxVZ2yIjM-YGkWTTc;18.01.2024 14:44;18.01.2024 14:53;18.01.2024 14:53;;5fa9392c0cc79c03b3f4eb58;ai_feedback_vs_teacher_feedback;7;7;0.8;68;55;0.2;6;7;-0.8;50;20;0.5;-0.2;-0.5;7;7;0.8;46;49;0.2;7;7;-0.8;30;30;-0.2;0.5;-0.5;7;7;68;79;7;7;50;55;1;7;7;44;41;7;7;40;30;7;7;65;28;7;7;60;25;7;7;29;70;7;7;35;65;3;1;3;50;100;1
Bwm5Q8V87PoGw5XVDahN_M9rHM-Fj4NKZCfW1TJrFOMXbDLelRYulKR1jrpB60zJ;18.01.2024 14:45;18.01.2024 14:52;18.01.2024 14:52;;5d87a74208667b0001eff922;goal_oriented_vs_regular_class;3;4;0.5;33;44;0.8;2;3;-0.2;30;50;-0.5;0.2;-0.8;3;6;-0.8;49;60;-0.5;3;4;-0.2;40;30;0.5;0.2;0.8;3;4;37;43;3;3;30;50;1;3;4;27;36;3;4;30;50;3;3;27;31;3;4;30;50;3;3;32;13;3;2;30;50;3;1;2;50;100;2
VsddQHsvjWW0qTamHyDmJm8kiC-zRyUVY-jqJ9fF6A89XvvHtBspSle2uMBIR1ZO;18.01.2024 14:52;18.01.2024 14:58;18.01.2024 14:58;;5f6fb3e1e5d748575a2cff99;science_kit_vs_traditional_program;6;7;0.2;77;87;-0.2;5;5;0.8;5;5;-0.8;-0.5;0.5;6;7;-0.8;78;81;-0.2;4;5;0.2;5;5;0.5;0.8;-0.5;7;7;78;80;4;5;5;5;1;7;7;73;72;4;5;5;5;7;7;78;80;5;5;5;5;7;7;75;80;4;4;5;5;3;1;3;50;70;1
s9STeqUnYHAuarriU6I-MQBs4J6VNzOTiHze6psxnaCENWfkmwDjNsf40HJYCCuL;18.01.2024 16:00;18.01.2024 16:10;18.01.2024 16:10;;5ab8c3fb9534ba0001c6b60d;ai_feedback_vs_teacher_feedback;6;6;0.2;49;49;-0.8;4;6;-0.5;0;0;-0.2;0.8;0.5;5;7;0.2;69;77;-0.8;4;6;0.8;0;0;0.5;-0.5;-0.2;6;7;54;81;4;6;0;0;1;6;7;51;73;4;6;0;0;6;7;46;72;4;6;0;0;7;6;57;50;6;4;0;0;3;1;3;50;100;1
